,num_reads
RP11-34P13.7,3.0
FO538757.2,263.0
AP006222.2,97.0
RP4-669L17.10,9.0
RP11-206L10.9,39.0
LINC00115,20.0
FAM41C,24.0
NOC2L,379.0
KLHL17,7.0
PLEKHN1,7.0
ISG15,497.0
AGRN,2.0
C1orf159,23.0
TNFRSF18,2.0
TNFRSF4,8.0
SDF4,393.0
B3GALT6,59.0
UBE2J2,335.0
SCNN1D,3.0
ACAP3,110.0
PUSL1,64.0
CPSF3L,230.0
CPTP,93.0
TAS1R3,3.0
DVL1,13.0
AURKAIP1,691.0
CCNL2,268.0
MRPL20,917.0
RP4-758J18.13,7.0
ATAD3C,15.0
ATAD3B,40.0
ATAD3A,57.0
TMEM240,4.0
SSU72,1248.0
RP5-832C2.5,79.0
C1orf233,8.0
RP11-345P4.9,55.0
MIB2,192.0
MMP23B,4.0
CDK11B,305.0
RP11-345P4.10,7.0
SLC35E2B,264.0
RP11-345P4.7,14.0
CDK11A,344.0
SLC35E2,41.0
NADK,47.0
GNB1,246.0
CFAP74,8.0
PRKCZ,40.0
RP5-892K4.1,23.0
RP11-181G12.2,2.0
FAAP20,325.0
SKI,79.0
MORN1,16.0
RER1,336.0
PEX10,52.0
PLCH2,7.0
PANK4,73.0
RP3-395M20.12,43.0
RP3-395M20.8,12.0
TNFRSF14,472.0
RP3-395M20.9,21.0
FAM213B,54.0
MMEL1,5.0
TTC34,17.0
MEGF6,25.0
RP11-46F15.2,12.0
TPRG1L,120.0
WRAP73,147.0
TP73-AS1,47.0
SMIM1,21.0
LRRC47,170.0
CEP104,127.0
DFFB,41.0
C1orf174,216.0
NPHP4,6.0
KCNAB2,295.0
CHD5,2.0
RPL22,21309.0
RNF207,5.0
ICMT,67.0
LINC00337,4.0
ACOT7,13.0
RP1-202O8.3,10.0
HES2,8.0
ESPN,3.0
TNFRSF25,645.0
PLEKHG5,9.0
NOL9,155.0
ZBTB48,81.0
KLHL21,151.0
PHF13,35.0
THAP3,120.0
DNAJC11,103.0
RP11-242F24.1,2.0
CAMTA1,295.0
VAMP3,110.0
